seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,3.3758403658866882,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.0
0,B,3.0374407172203064,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.3333333333333333,0.3333333333333333,0.375,0.5,0.25
1,A,3.4668378233909607,0.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.6666666666666666,0.625,0.5,0.5
1,B,3.5174520611763,0.0,0.6666666666666666,0.5,0.0,0.0,0.5714285714285714,0.5,0.625,1.0,0.4
2,A,1.852892979979515,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.16666666666666666,0.125,0.0,0.0
2,B,1.9834339022636414,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0
3,A,1.672140657901764,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.375,0.0,0.0
3,B,3.5422996878623962,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333
4,A,3.23907408118248,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.0
4,B,2.912397265434265,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.2857142857142857,0.16666666666666666,0.25,0.5,0.2
5,A,3.432147264480591,0.0,0.6666666666666666,0.5,0.0,0.0,0.6666666666666666,0.8333333333333334,0.75,0.5,1.0
5,B,2.5527399480342865,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.3333333333333333,0.3333333333333333,0.375,0.5,0.25
6,A,3.5849912762641907,0.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.6666666666666666,0.625,0.5,0.5
6,B,3.604733943939209,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5,0.5,0.3333333333333333
7,A,3.6164708137512207,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.0
7,B,3.43364155292511,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.0
8,A,4.122391045093536,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.25,0.0,0.0
8,B,2.0074255913496017,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333
9,A,3.7102033495903015,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0
9,B,3.6978278160095215,1.0,1.0,0.0,1.0,1.0,0.4,0.5,0.5,0.5,0.3333333333333333
10,A,3.2722260653972626,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.0
10,B,2.6503031700849533,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.8333333333333334,0.75,0.5,1.0
11,A,3.535684585571289,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0
11,B,3.2147058248519897,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333
12,A,3.950195610523224,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0
12,B,2.6839961409568787,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5,0.6666666666666666,0.625,0.5,0.5
13,A,2.580941915512085,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.0,0.6666666666666666,0.5,0.0,0.0
13,B,1.4616750180721283,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.75,0.5,1.0
14,A,3.6220430731773376,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0
14,B,2.1302921921014786,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5,0.6666666666666666,0.625,0.5,0.5
15,A,3.1829609274864197,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0
15,B,1.9390145689249039,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5
16,A,3.368061065673828,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5,0.6666666666666666,0.625,0.5,0.5
16,B,3.702462077140808,1.0,1.0,0.0,1.0,1.0,0.5714285714285714,0.5,0.625,1.0,0.4
17,A,3.8423383831977844,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.375,0.0,0.0
17,B,1.4624868333339691,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5714285714285714,0.5,0.625,1.0,0.4
18,A,2.6081543415784836,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.0
18,B,2.415029287338257,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333
19,A,2.8630082309246063,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.125,0.0,0.0
19,B,1.2625030279159546,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.75,0.5,1.0
