seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,3.385653257369995,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
0,B,3.042135536670685,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.5
1,A,3.3951438665390015,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.5
1,B,3.5585655570030212,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2,A,1.9096823707222939,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
2,B,2.3481230437755585,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5
3,A,1.9658603966236115,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0
3,B,1.435826689004898,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5714285714285714,0.5,0.5,0.6666666666666666,0.5
4,A,3.234222412109375,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0
4,B,2.8359212577342987,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.0,0.3333333333333333,0.33333333333333337,0.0,0.0
5,A,3.399603486061096,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0
5,B,1.858265794813633,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
6,A,3.246650665998459,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666
6,B,3.403980016708374,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.5
7,A,2.8089027404785156,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.5
7,B,3.3114925026893616,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
8,A,3.7191595435142517,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5714285714285714,0.5,0.5,0.6666666666666666,0.5
8,B,2.3196073845028877,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.6666666666666666,0.5
