seed,train_loss,f1,acc,recall,precision,auc,test_f1,test_acc,test_auc,test_recall,test_precision
0,0.13761667659382937,0.9888674697195752,0.9949355267411372,0.9815272529829873,0.9966528633424435,0.9968312382698059,0.9760588369814315,0.9817182673658501,0.9965383410453796,0.9636429582869294,0.9902182194598748
1,0.09824379769949232,0.9920516331652444,0.9919183937358572,0.9888822050519875,0.9953982859439575,0.9973807334899902,0.9904825277314508,0.991559514402701,0.9970835447311401,0.9862578676432798,0.9948752092310358
2,0.29484256111666696,0.9917177516931333,0.9900147264825258,0.9895326690478289,0.99406292047181,0.9974501729011536,0.9899182076726711,0.9910566769628618,0.9981963038444519,0.985230166599313,0.9948238335251818
3,0.5325693963392979,0.9886449108765705,0.9895118709816457,0.9833981325551553,0.9941922950634259,0.995134174823761,0.9416018558986181,0.9465555635371022,0.996734619140625,0.9236259585951705,0.9742698408232275
4,0.21336627280283693,0.980018502215505,0.9920261484860458,0.966627763316529,0.9950556486497923,0.997974693775177,0.9790187216842418,0.9715178507291143,0.9969341158866882,0.9752626912071547,0.983980793824675
5,0.5132335718280672,0.9936192861109688,0.99472001724076,0.9903274862208825,0.9970006682548043,0.9982887506484985,0.9809359494492652,0.9820774369657352,0.9971625208854675,0.9726715575564187,0.9906263722697929
6,0.2559732925953142,0.9939133303034191,0.9954383822420172,0.992061381329761,0.9958439282426481,0.9963265657424927,0.9773521458593022,0.9812513468859996,0.9962774515151978,0.9667642279532356,0.9895893058521951
7,0.5222771136508868,0.9900593550976128,0.9918106389856686,0.9858156972489691,0.9944816855148417,0.9971553683280945,0.9665006470265792,0.989224912003448,0.998760998249054,0.9458525078028076,0.9923407841351526
8,0.2538571216998733,0.9916588534090047,0.9937502244890629,0.9870447439609642,0.9964327859836682,0.997622013092041,0.9823915907947768,0.9834063644853099,0.9980122447013855,0.9749296622037438,0.9908530171018345
9,0.2795007785268808,0.9859091418600894,0.9898351352322114,0.9784966715027801,0.9937831070608778,0.9974032640457153,0.9843611791504963,0.9830471948854249,0.9972089529037476,0.978805128522062,0.9904341751426161
