seed,train_loss,f1,acc,recall,precision,auc,test_f1,test_acc,test_auc,test_recall,test_precision
0,0.7428178227028184,0.9981005195165429,0.9982040874968572,0.9980123008801506,0.9981890418951552,0.9999529719352722,0.42057751027217355,0.4712305150492062,0.9999255537986755,0.5711872305720611,0.7101740294511378
1,0.11201754268943276,0.9979887171482793,0.9980963327466685,0.9984385396654407,0.99754676945163,0.999968409538269,0.9964355811790588,0.9966238057610803,0.9999114274978638,0.9972443229179012,0.9956523650394464
2,0.09073286961297988,0.9988231754245258,0.9988865342480514,0.9990970523127112,0.9985522137119373,0.9999693632125854,0.9875744877306073,0.9881833201637813,0.999901294708252,0.9903993969013569,0.985065281123331
3,0.7159674331160772,0.9985574154272355,0.9986351064976114,0.9988223166484809,0.998295243677418,0.9999639987945557,0.9988231188056876,0.9988865742403563,0.999922513961792,0.9990439322862681,0.9986042015748479
4,0.09417428785879878,0.9995063361596306,0.9995330627491829,0.9996213445182337,0.9993918413173652,0.9999701976776123,0.9992027016555896,0.9992457438402413,0.9999278783798218,0.9993883257602236,0.9990184163784239
5,0.3574970095906451,0.998557618617892,0.9986351064976114,0.9988931608994525,0.9982264538411276,0.9999672770500183,0.9949603160131977,0.9952230443215286,0.9999282956123352,0.9961260631480835,0.9938477194930151
6,0.6819253080226737,0.9982529732627532,0.9983477604971086,0.9983059208865845,0.9982001349148619,0.9999339580535889,0.5722333313996101,0.5862007039724157,0.9999147653579712,0.6644238611208202,0.7404829481461459
7,0.08711546418270366,0.9995822696766199,0.9996048992493086,0.9996795992077363,0.9994853078794685,0.9999709129333496,0.9932559947145865,0.9936426980820343,0.9999277591705322,0.9917103784188834,0.9948970766303408
8,0.22970278527049715,0.9990501417314361,0.9991020437484286,0.9988998840636178,0.9992012784524655,0.9999693632125854,0.9991261498857269,0.9991739099202643,0.9998824000358582,0.9989582308856193,0.9992951669986567
9,0.09440225187368156,0.9991647016422198,0.9992097984986171,0.9993591984154724,0.9989716743012059,0.9999704360961914,0.9993165411050264,0.9993534947202068,0.9999284744262695,0.9994580011189964,0.9991758585749515
