seed,train_loss,f1,acc,recall,precision,auc,test_f1,test_acc,test_auc,test_recall,test_precision
0,1.1755050719538076,0.9906477318886833,0.9927804317373657,0.990460371539938,0.9909493113389182,0.9973791241645813,0.9871110085849851,0.989009410243517,0.9985924959182739,0.9851254183997102,0.9899164607993445
1,0.32508819339815176,0.9908386198403747,0.9933910419884343,0.9862511411778078,0.9956139873548369,0.9987279176712036,0.9750593473040802,0.972990446088643,0.9984771013259888,0.9700612017572231,0.9819613424933863
2,0.08732651880706754,0.9927886568027915,0.9962645019934628,0.988384628377308,0.9974062499012305,0.9987596273422241,0.979515372575135,0.9954385460814597,0.9988285303115845,0.9871437410896451,0.9749837864925908
3,0.9433129348216198,0.9916425739269146,0.9927804317373657,0.9887195093794906,0.9947076004338282,0.9980589747428894,0.9366401056769769,0.9635083686516773,0.9969309568405151,0.9077269661526108,0.979526738374261
4,0.39689721041247594,0.9936585770857779,0.993714306239,0.9918288095409042,0.9956796359954054,0.9982277154922485,0.9910317976060471,0.9918109331226205,0.9983074069023132,0.9881974079697816,0.9942066295260649
5,0.27595781791224994,0.9952100812338864,0.9977012319959772,0.9929259989497169,0.9975997276094561,0.9989126324653625,0.9779273557378744,0.9927088571223331,0.9983912706375122,0.9765309165783229,0.9817690325263436
6,0.28850964740638574,0.988263042652366,0.99094860098416,0.9844404286744955,0.9926170585346569,0.9984443783760071,0.9708546754587266,0.9838732849651606,0.9982573390007019,0.9779284692814167,0.9675643750046031
7,0.23605557516789588,0.9937551459249028,0.9960489924930858,0.9905161918280594,0.9970799408416969,0.9983059167861938,0.9842385011752531,0.9939300337619424,0.9985365867614746,0.9757573050504851,0.9944140292484873
8,0.16431752657251408,0.9953077689154843,0.9975575589957257,0.9947327705346094,0.9959549599348737,0.9988325238227844,0.9945124487153706,0.9942173694418505,0.9985105395317078,0.9920828559088843,0.9970211828084643
9,0.30380356340424797,0.9854142282446494,0.9871412664774972,0.9817405383966193,0.9900762101649715,0.9983745813369751,0.9883663765390083,0.9854536312046548,0.9986228942871094,0.986458415945868,0.9907613273605372
